2014-06-017-welcome-to-the-2014-annual-auxiliary-training-sunday-school,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-017-welcome-to-the-2014-annual-auxiliary-training-sunday-school-360p-eng.mp4,27.1 MB
2014-06-017-welcome-to-the-2014-annual-auxiliary-training-sunday-school,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-017-welcome-to-the-2014-annual-auxiliary-training-sunday-school-720p-eng.mp4,57.4 MB
2014-06-017-welcome-to-the-2014-annual-auxiliary-training-sunday-school,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-017-welcome-to-the-2014-annual-auxiliary-training-sunday-school-1080p-eng.mp4,246.8 MB
2014-06-013-welcome-to-the-2014-annual-auxiliary-training-primary,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-013-welcome-to-the-2014-annual-auxiliary-training-primary-360p-eng.mp4,10.9 MB
2014-06-013-welcome-to-the-2014-annual-auxiliary-training-primary,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-013-welcome-to-the-2014-annual-auxiliary-training-primary-720p-eng.mp4,23.4 MB
2014-06-013-welcome-to-the-2014-annual-auxiliary-training-primary,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-013-welcome-to-the-2014-annual-auxiliary-training-primary-1080p-eng.mp4,98.8 MB
2014-06-007-set-in-order-our-own-homes,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-007-set-in-order-our-own-homes-360p-eng.mp4,19.5 MB
2014-06-007-set-in-order-our-own-homes,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-007-set-in-order-our-own-homes-720p-eng.mp4,41.0 MB
2014-06-007-set-in-order-our-own-homes,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-007-set-in-order-our-own-homes-1080p-eng.mp4,175.0 MB
2014-06-010-the-role-of-parents,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-010-the-role-of-parents-360p-eng.mp4,6.7 MB
2014-06-010-the-role-of-parents,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-010-the-role-of-parents-720p-eng.mp4,14.1 MB
2014-06-010-the-role-of-parents,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-010-the-role-of-parents-1080p-eng.mp4,57.2 MB
2014-06-014-welcome-to-the-2014-annual-auxiliary-training-young-women,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-014-welcome-to-the-2014-annual-auxiliary-training-young-women-360p-eng.mp4,28.1 MB
2014-06-014-welcome-to-the-2014-annual-auxiliary-training-young-women,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-014-welcome-to-the-2014-annual-auxiliary-training-young-women-720p-eng.mp4,60.7 MB
2014-06-014-welcome-to-the-2014-annual-auxiliary-training-young-women,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-014-welcome-to-the-2014-annual-auxiliary-training-young-women-1080p-eng.mp4,258.2 MB
2014-06-011-the-ward-council-were-all-in-this-together,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-011-the-ward-council-were-all-in-this-together-360p-eng.mp4,13.1 MB
2014-06-011-the-ward-council-were-all-in-this-together,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-011-the-ward-council-were-all-in-this-together-720p-eng.mp4,28.4 MB
2014-06-011-the-ward-council-were-all-in-this-together,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-011-the-ward-council-were-all-in-this-together-1080p-eng.mp4,116.1 MB
2014-06-004-the-blessings-of-participation,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-004-the-blessings-of-participation-360p-eng.mp4,9.8 MB
2014-06-004-the-blessings-of-participation,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-004-the-blessings-of-participation-720p-eng.mp4,21.0 MB
2014-06-004-the-blessings-of-participation,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-004-the-blessings-of-participation-1080p-eng.mp4,85.3 MB
2014-06-016-welcome-to-the-2014-annual-auxiliary-training-young-men,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-016-welcome-to-the-2014-annual-auxiliary-training-young-men-360p-eng.mp4,31.5 MB
2014-06-016-welcome-to-the-2014-annual-auxiliary-training-young-men,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-016-welcome-to-the-2014-annual-auxiliary-training-young-men-720p-eng.mp4,68.0 MB
2014-06-016-welcome-to-the-2014-annual-auxiliary-training-young-men,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-016-welcome-to-the-2014-annual-auxiliary-training-young-men-1080p-eng.mp4,286.3 MB
2014-06-009-living-the-gospel-brings-power,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-009-living-the-gospel-brings-power-360p-eng.mp4,10.6 MB
2014-06-009-living-the-gospel-brings-power,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-009-living-the-gospel-brings-power-720p-eng.mp4,22.8 MB
2014-06-009-living-the-gospel-brings-power,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-009-living-the-gospel-brings-power-1080p-eng.mp4,93.7 MB
2014-06-012-we-all-need-to-be-nurtured,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-012-we-all-need-to-be-nurtured-360p-eng.mp4,14.8 MB
2014-06-012-we-all-need-to-be-nurtured,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-012-we-all-need-to-be-nurtured-720p-eng.mp4,31.5 MB
2014-06-012-we-all-need-to-be-nurtured,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-012-we-all-need-to-be-nurtured-1080p-eng.mp4,130.4 MB
2014-06-008-the-power-of-informal-teaching,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-008-the-power-of-informal-teaching-360p-eng.mp4,7.3 MB
2014-06-008-the-power-of-informal-teaching,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-008-the-power-of-informal-teaching-720p-eng.mp4,15.3 MB
2014-06-008-the-power-of-informal-teaching,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-008-the-power-of-informal-teaching-1080p-eng.mp4,63.5 MB
2014-06-015-welcome-to-the-2014-annual-auxiliary-training-relief-society,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-015-welcome-to-the-2014-annual-auxiliary-training-relief-society-360p-eng.mp4,12.6 MB
2014-06-015-welcome-to-the-2014-annual-auxiliary-training-relief-society,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-015-welcome-to-the-2014-annual-auxiliary-training-relief-society-720p-eng.mp4,27.0 MB
2014-06-015-welcome-to-the-2014-annual-auxiliary-training-relief-society,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-015-welcome-to-the-2014-annual-auxiliary-training-relief-society-1080p-eng.mp4,114.8 MB
2014-06-006-lifelong-learning,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-006-lifelong-learning-360p-eng.mp4,11.7 MB
2014-06-006-lifelong-learning,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-006-lifelong-learning-720p-eng.mp4,24.7 MB
2014-06-006-lifelong-learning,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-006-lifelong-learning-1080p-eng.mp4,103.6 MB
2014-06-001-learning-and-teaching-in-the-home-and-the-church-the-home,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-001-learning-and-teaching-in-the-home-and-the-church-the-home-360p-eng.mp4,66.5 MB
2014-06-001-learning-and-teaching-in-the-home-and-the-church-the-home,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-001-learning-and-teaching-in-the-home-and-the-church-the-home-720p-eng.mp4,141.0 MB
2014-06-001-learning-and-teaching-in-the-home-and-the-church-the-home,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-001-learning-and-teaching-in-the-home-and-the-church-the-home-1080p-eng.mp4,607.4 MB
2014-06-002-learning-and-teaching-in-the-home-and-the-church-the-church,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-002-learning-and-teaching-in-the-home-and-the-church-the-church-360p-eng.mp4,82.8 MB
2014-06-002-learning-and-teaching-in-the-home-and-the-church-the-church,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-002-learning-and-teaching-in-the-home-and-the-church-the-church-720p-eng.mp4,174.1 MB
2014-06-002-learning-and-teaching-in-the-home-and-the-church-the-church,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-002-learning-and-teaching-in-the-home-and-the-church-the-church-1080p-eng.mp4,198.2 MB
2014-06-005-focusing-on-one-or-two-principles,360p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-005-focusing-on-one-or-two-principles-360p-eng.mp4,15.9 MB
2014-06-005-focusing-on-one-or-two-principles,720p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-005-focusing-on-one-or-two-principles-720p-eng.mp4,33.8 MB
2014-06-005-focusing-on-one-or-two-principles,1080p,http://media2.ldscdn.org/assets/leadership-training/2014-auxiliary-training/2014-06-005-focusing-on-one-or-two-principles-1080p-eng.mp4,143.0 MB
2014-01-019-charity-never-faileth,360p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-019-charity-never-faileth-360p-eng.mp4,31.6 MB
2014-01-019-charity-never-faileth,720p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-019-charity-never-faileth-720p-eng.mp4,53.4 MB
2014-01-019-charity-never-faileth,1080p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-019-charity-never-faileth-1080p-eng.mp4,205.1 MB
2014-01-030-calming-the-tempest,360p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-030-calming-the-tempest-360p-eng.mp4,16.4 MB
2014-01-030-calming-the-tempest,720p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-030-calming-the-tempest-720p-eng.mp4,30.7 MB
2014-01-030-calming-the-tempest,1080p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-030-calming-the-tempest-1080p-eng.mp4,119.7 MB
2014-01-024-wherefore-didst-thou-doubt,360p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-024-wherefore-didst-thou-doubt-360p-eng.mp4,15.5 MB
2014-01-024-wherefore-didst-thou-doubt,720p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-024-wherefore-didst-thou-doubt-720p-eng.mp4,29.2 MB
2014-01-024-wherefore-didst-thou-doubt,1080p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-024-wherefore-didst-thou-doubt-1080p-eng.mp4,98.9 MB
2014-01-023-the-feeding-of-the-5000,360p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-023-the-feeding-of-the-5000-360p-eng.mp4,21.9 MB
2014-01-023-the-feeding-of-the-5000,720p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-023-the-feeding-of-the-5000-720p-eng.mp4,44.8 MB
2014-01-023-the-feeding-of-the-5000,1080p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-023-the-feeding-of-the-5000-1080p-eng.mp4,126.6 MB
2014-01-028-laborers-in-the-vineyard,360p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-028-laborers-in-the-vineyard-360p-eng.mp4,26.6 MB
2014-01-028-laborers-in-the-vineyard,720p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-028-laborers-in-the-vineyard-720p-eng.mp4,41.9 MB
2014-01-028-laborers-in-the-vineyard,1080p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-028-laborers-in-the-vineyard-1080p-eng.mp4,174.1 MB
2014-01-027-jesus-declares-the-parable-of-the-wheat-tares-mustard-seed-and-leaven,360p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-027-jesus-declares-the-parable-of-the-wheat-tares-mustard-seed-and-leaven-360p-eng.mp4,16.5 MB
2014-01-027-jesus-declares-the-parable-of-the-wheat-tares-mustard-seed-and-leaven,720p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-027-jesus-declares-the-parable-of-the-wheat-tares-mustard-seed-and-leaven-720p-eng.mp4,32.7 MB
2014-01-027-jesus-declares-the-parable-of-the-wheat-tares-mustard-seed-and-leaven,1080p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-027-jesus-declares-the-parable-of-the-wheat-tares-mustard-seed-and-leaven-1080p-eng.mp4,103.2 MB
2014-01-029-parable-of-the-sower,360p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-029-parable-of-the-sower-360p-eng.mp4,34.7 MB
2014-01-029-parable-of-the-sower,720p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-029-parable-of-the-sower-720p-eng.mp4,69.6 MB
2014-01-029-parable-of-the-sower,1080p,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-029-parable-of-the-sower-1080p-eng.mp4,227.3 MB
