2014-06-017-welcome-to-the-2014-annual-auxiliary-training-sunday-school,Welcome to the 2014 Annual Auxiliary Training: Sunday School,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-017-welcome-to-the-2014-annual-auxiliary-training-sunday-school-192x108-thumb.jpg,4:11,"As Sunday School leaders and teachers work to improve learning and teaching in the lives of those they serve, they will become mutually edified as they learn and teach by the Spirit and inspire the learner to live the doctrine."
2014-06-013-welcome-to-the-2014-annual-auxiliary-training-primary,Welcome to the 2014 Annual Auxiliary Training: Primary,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-013-welcome-to-the-2014-annual-auxiliary-training-primary-192x108-thumb.jpg,1:42,"As Primary leaders and teachers work to improve learning and teaching in the lives of those they serve, they consider the opportunity they have to not only influence a child, but to learn from a child as they embark on the covenant path."
2014-06-007-set-in-order-our-own-homes,Set in Order Our Own Homes,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-007-set-in-order-our-own-homes-192x108-thumb.jpg,3:04,Ward council members and auxiliary leaders have the foremost responsibility to live the gospel in their own homes.
2014-06-010-the-role-of-parents,The Role of Parents,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-010-the-role-of-parents-192x108-thumb.jpg,1:07,Parents have the most important role in teaching their children the doctrines of the gospel.
2014-06-014-welcome-to-the-2014-annual-auxiliary-training-young-women,Welcome to the 2014 Annual Auxiliary Training: Young Women,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-014-welcome-to-the-2014-annual-auxiliary-training-young-women-192x108-thumb.jpg,4:25,"As young women and their leaders work together to improve learning and teaching in their lives, they consider ways to learn, live, and share the gospel which prepares them to make and keep sacred covenants and receive temple ordinances."
2014-06-011-the-ward-council-were-all-in-this-together,The Ward Council-We're All in This Together,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-011-the-ward-council-were-all-in-this-together-192x108-thumb.jpg,2:07,The successful ward council is a support to the family.
2014-06-004-the-blessings-of-participation,The Blessings of Participation,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-004-the-blessings-of-participation-192x108-thumb.jpg,1:36,Participation by all class members allows the Holy Ghost to enter into the heart of each learner and teach important principles.
2014-06-016-welcome-to-the-2014-annual-auxiliary-training-young-men,Welcome to the 2014 Annual Auxiliary Training: Young Men,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-016-welcome-to-the-2014-annual-auxiliary-training-young-men-192x108-thumb.jpg,4:54,"Young men and their leaders work together to improve learning and teaching in their lives, they consider their sacred duty to “warn, expound, exhort, and teach and invite all to come unto Christ,” particularly through the ordinance of the sacrament."
2014-06-009-living-the-gospel-brings-power,Living the Gospel Brings Power,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-009-living-the-gospel-brings-power-192x108-thumb.jpg,1:42,The most powerful teacher is one that lives the principles of the gospel everyday.
2014-06-012-we-all-need-to-be-nurtured,We All Need to Be Nurtured,http://media.ldscdn.org/images/videos/leadership-training/2014-auxiliary-training/2014-06-012-we-all-need-to-be-nurtured-192x108-thumb.jpg,2:22,All who attend church classes and meetings must receive lessons that inspire and allow them to be touched by the spirit and nurtured by the spirit.
